,Lake_Askoti,Barnes_Lake,Breakneck_Pond,Island_Pond,Lake_Kanawauke_L,Lake_Kanawauke_U,Little_Long_Pond,Lily_Pond,Lake_Massawippa,Lake_Nawahunta,Pine_Meadow,Pine_Swamp,Harriman_Pond,Queensboro_Lake,Lake_Sebago,Silver_Mine_Lake,Lake_Skannatati,Lake_Skenonto,Spring_Pond,Lake_Stahahe,Lake_Te-Ata,Lake_Tiorati,Turkey_Hill_Lake,Lake_Wanoksink,Welch,Lake_Wanoksink_overflow
Micrasterias_muricata,,,1,,,,,,,,,,,,,,,,,,,,,,,
Micrasterias_nordstedtiana,,,,,,,1,,,,,,,,,,,,,,,,,,,
Micrasterias_pinnatifida,,,,,,1,1,1,,,,,,,,,1,,,,1,,,,,
Micrasterias_radiosa,,,,,1,1,,1,,,,,,,,,1,,,,,,,,,
Micrasterias_radiosa_var._elegantior,,,,,,1,,,,,,,,,,,,,,1,,,,,,
Micrasterias_rotata,,,1,,,,,,,,,,,,,,,,,,,,,,,
Micrasterias_torreyi,,,1,,,,,,,,1,,,,,,,,,,,,,,,
Micrasterias_truncata,,,1,,,,,,,,,,,,,,,,,,,,,,,1
Mougeotia_sp.,,,1,1,,1,1,1,1,,,1,1,1,,,1,1,1,1,,1,,1,,1
Netrium_digitus,1,,1,,,1,,,,,1,,,,,,,,1,,,,,1,,1
Octacanthium_octacorne,,,1,,,,,,,,,,,,,,1,,,,,,,,,
Penium_exiguum,,,,,,,,,,,,,,,,,,,,,,,,,,1
Penium_margaritaceum,,,1,,,,,,,,,,,,,,,,,,,,,,,
Pleurotaenium_baculoides,,,,,1,1,,,,,,,1,,,,,1,,,,,,,,
Pleurotaenium_coronatum_var._robustum,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Pleurotaenium_ehrenbergii,,,,,,1,,,,,,,,1,,,1,,,,,,,,,
Pleurotaenium_nodosum,,,,,,,,,,,,,,,,,,,,,,,,,,1
Pleurotaenium_trabecula,,,,,1,1,1,1,,,,,,1,,,1,,,1,1,,,,,
Pleurotaenium_verrucosum,,,1,,,,,,,,,,,,,,,,,,,,,,,
Spirotaenia_condensata,,,1,,,1,,,,,,,,,,,,,,,,1,,,,
Spondylosium_moniliforme,,,,,1,,,,,,,,,,,,,,,,,,,,,
Spondylosium_planum,,,,,,1,,,,,,,,,,,,,,,,,,,,
Staurastrum_anatinum_var._curtum,1,,1,,,,1,,,,,,,1,,,,,1,,1,,,,,
Staurastrum_anatinum_var._truncatum,,,,,,1,1,,,,,,,,,,1,,,,,,,,,
Staurastrum_ankyroides,1,,,,,,,,,,,,,,,,1,,,1,,,,,,
Staurastrum_arachne,,,1,,,,,,,,,,,,,,1,1,,,,,,,,
Staurastrum_brasiliense_var._lundellii,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Staurastrum_brebissonii,,,,,1,,,,,,,,,,,,,,,1,,,,,,
Staurastrum_brevispinum,,,,,1,1,1,,,,,,,,,,1,,,1,,,,,,
Staurastrum_cerastes,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,
Staurastrum_claviferum_var._macracanthum,,,1,,1,,1,,,,,,,,,,1,1,,,,,,,,
Staurastrum_floriferum,1,,,,,,1,,,,,,,,,,1,,,,,,,,,
Staurastrum_johnsonii_var._triradiatum,,,1,,,,,,,,,,,,,,,,,,,,,,,
Staurastrum_johnsonii,,,,,,1,1,,,,,,,,,,,1,,,,,,,,
Staurastrum_leptocladum_var._cornutum_Wille,1,,,,1,,,,,,,,,,,,1,,,,,,,,,
Staurastrum_limneticum_var._cornutum,,,,,,,1,,,,,,,,,,1,,,,,,,,,
Staurastrum_ophiura,,,1,,1,,1,,,,,,,,,,,,,1,,,,,,
Staurastrum_pentacerum,,,1,,,,,,,,1,,,,,,,,,,,,,,,
Staurastrum_pinnatum_var._reductum,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,
Staurastrum_setigerum,,,,,,,,,,,,,,1,,,,,,,,,,,,
Staurodesmus_convergens,,,,,,,,,,,,,1,,,,,,,,,,,,,
Staurodesmus_cuspidatus,,,,,,,,1,,,,,,,,,1,,,,,,,,,
Staurodesmus_dejectus,,,,,,,,1,,,,,,,,,1,1,,,,,,,,
Staurodesmus_extensus,,,1,,,,,,,,,,,,,,,,,,,,,,,
Staurodesmus_megacanthus,,,,,,1,,,,,,,,,,,,,,,,,,,,
Teilingia_granulata,,,1,,1,1,,,,,,,,,,,1,,,,,,,,,
Tetmemorus_brebissonii,,,,,,,,,,,,1,,,,,,,,,,,,,,
Xanthidium_antilopaeum_f._javanicum,,,1,,,,,,,,1,,,,,,,,,,,,,,,
Xanthidium_antilopaeum_var._minneapoliense,,,,,,1,,,,,,,,,,,,,,1,,,,,,
Xanthidium_antilopaeum_var._polymazum,,,1,,1,,1,,,,,,1,,,,1,1,1,1,,,,,,
Xanthidium_armatum_var._cervicorne,,,1,,,,,,,,,,,,,,,,,,,,,,,
Xanthidium_cristatum_var._scrobiculatum,,,,,1,1,1,,,,,,,,,,1,,,1,,,,,,
Xanthidium_subhastiferum_var._johnsonii,,,,,,1,,,,,,,,,,,,,,,,,,,,
Zygnema_sp.,1,,1,,,1,,,,,,,,,,,,,,,1,,,,,1
